original_english,original_rephrase,query_sentence_hindi,matched_sentence_hindi,similarity_score
"Yeah I’m following a lot of shows right now, the price is right is pretty good but season 1 is better than season 2",Stranger Things is pretty good but season 1 is better than season 2,"हाँ मैं अभी बहुत सारे शो देख रहा हूँ, कीमत सही है काफी अच्छा है लेकिन सीजन 1 सीजन 2 से बेहतर है","उन्होंने कहा,‘‘अभी श्रृंखला के शुरू होने में काफी समय है लेकिन हमने जैसी शुरुआत की है, मैं उससे खुश हूं। हम परिस्थितियों से सामंजस्य बैठा रहे हैं।’’",0.62085265
"how you gonna ask me how i’m doing “on this fine labor day” while you’re off, as I’m ringing you out, on labor day.
how do you think i am 💀","“I’m working on Labor Day, I am obviously not having a great day as I could be off like you are but I’m not.”","आप मुझे कैसे पूछेंगे कि मैं इस अच्छे श्रम दिवस पर कैसे हूं जब आप छुट्टी पर हैं, जैसा कि मैं आपको कॉल कर रहा हूं, श्रम दिवस पर। आप मुझे कैसे सोचते हैं?",हेलो दोस्तों आप लोग कैसे हैं? आशा करता हूं कि आप लोग बहुत ही बढ़िया होंगे। तो दोस्तों आज की इस आर्टिकल के अंदर हम लोग बात करेंगे My Favourite Bloggers. दोस्तों मैंने जब मेरे ब्लॉगिंग जर्नी शुरू किया था तब मैंने कहा से ब्लॉगिंग सिखा था और कौन सी यूट्यूब चैनल को फॉलो करके मैंने क्लॉगिंग सीखा है आज वही आप लोगों के साथ शेयर करने जा रहा हूं।,0.6207616
Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow,"Although I do not want to live to be 110 years old, I love reading about people's hyper-specific secrets to longevity that other people will inevitably follow",मैं इंतजार नहीं कर सकता जब तक मैं 110 साल की उम्र तक जीता हूं और मेरे पास लोग मुझसे पूछते हैं कि मैंने इतने लंबे समय तक कैसे जीया है ताकि मैं दीर्घायु के लिए कुछ हाइपर-विशिष्ट रहस्य बना सकूं जो लोग अपरिहार्य रूप से पालन करेंगे,"इस समय यूके में रहने वाले भारत के इस पूर्व क्रिकेटर ने कहा कि मैं काफी परेशान हो चुका हूं, करीब 100 लोगों के फोन मेरे पास आ चुके हैं ये पूछने के लिए क्या मैं जिंदा हूं या मर गया हूं। जिस पर मैंने सबको जवाब दिया तो क्या मैं भूत बोल रहा हूं। मुझे समझ नहीं आता कि इस तरह की बकवास कोई कर कैसे सकता है।",0.6206716
i’m dying,i am so drained ,मैं मर रहा हूँ,मैं भरवाता हूं,0.62065494
How DARE my friends have jobs/boyfriends/lives they should consider my feelings and be free when I am,I’m upset because I am free today and none of my friends are because they have previous commitments ,मेरे दोस्तों के पास नौकरी / प्रेमी / जीवन है वे मेरी भावनाओं को ध्यान में रखना चाहिए और जब मैं हूं तो स्वतंत्र होना चाहिए,"हर ब्यक्ति के जीवन मैं उसका कोई ना कोई एक दोस्त तो जरूर होते है, जैसे कि आप सब मेरे दोस्त हो Right, ऐसे ही हर किसी के लाइफ मैं एक दोस्त सबका होता है, एक तो मैं ऐसे ही बोल रहा हू actually बहुत सारे लोगों के जीवन मैं बहुत सारे दोस्त होते है, और दोस्त होना भी चाहिए बिना दोस्त के आप लाइफ जीही नहीं सकते हो, बिना दोस्त का जीवन और बिना रिचार्ज के मोबाइल एक जैसे ही, और specially आजके social world मैं तो दोस्त सबके पास होते है, आप लोग Facebook, चलाते हो Whatsapp चलाते हो Instagram चलाते हो तो आपके ऑनलाइन भी बहुत सारे दोस्त होते है, उनमे से कुछ दोस्त अछे दोस्त भी बन जाते है धीरे धीरे. उन्हीं दोस्तों के साथ आप सोशल साइट्स पर Images, मैसेज Share तो करते ही है होंगे, इसी लिए इस पोस्ट पर मैं आपको दे रहा हू Good night images for friends जो आप अपने Buddy's के साथ शेयर कर सकते हो, देखो यार दोस्तों को बिना Good night wishes भेजे सो जाना कैसा लगता है, दोस्त है तो दोस्ती का फर्ज भी तो निभाना होगा ना अगर आपके दोस्त आपकी care ना करे और आप अपने दोस्त का खयाल ना करे तो कैसा दोस्ती, ठीक है ना, दोस्ती मैं भी प्यार होता है, केयर होता है एक दूसरे के लिए, जो दोस्त आपके साथ हमेशा रहेगा आपके बुरे वक़्त पर आपका साथ निभाएगा और हर time आपकी याद करेगा वोही तो होते है सच्चे दोस्त. आपका कोई दोस्त अगर आपको Good night images for friends का images भेजता है तो आपको भी तो अछा लगेगा ना आप भी ये मानोगे की आपका दोस्त सच मैं आपका केयर कर्ता है और दिल से आपको दोस्त मानते है. बैसे तो आजकल सब virtual world मैं ही रहते है जादा, और ऑनलाइन ही एक दूसरे से बात भी करते है जादा busy लाइफ स्टाइल मैं लोग इतना खो गया है कि सामने बैट कर दो चार बातें करने का टाइम्स नहीं होता है सबके लिए, इसी लिए लोग अक्सर सोशल मीडिया पर ही एक दूसरे से बात करते है और Wishes भेजते रहते है.",0.620628
i hope u sleep maybe forever maybe not  lol,i wish you wake up normally,मुझे आशा है कि आप सो सकते हैं शायद हमेशा के लिए शायद नहीं lol,4.दिन में देर तक ना सोएं,0.62057173
did you actually fly on a plane if you didn’t post a picture of the view from your window?,You don’t need to post a picture from airplane window every time you fly since all pictures from the window are practically the same. ,क्या आप वास्तव में एक विमान में उड़ान भरी अगर आप अपनी खिड़की से दृश्य की एक तस्वीर पोस्ट नहीं किया?,"जब आप कैमरे के सामने ना हों, तो क्या करना पसंद करती हैं?",0.62056506
Hey what's the weather like today? Am I going to need an umbrella?,I'm joining in with the rest of Twitter and can't believe how much rain there is,आज मौसम कैसा है? क्या मुझे एक छाता की आवश्यकता होगी?,अब आंदोलन कैसा दिखता है?,0.62051356
Only posting selfie’s?? On YOUR own Instagram account?? Crazy right,It's my Instagram for a reason why wouldn't it be all pictures of me?,केवल अपने स्वयं के इंस्टाग्राम खाते पर सेल्फी पोस्ट करना? पागल सही,रैना ने इंस्टाग्राम पर अपने बेटी की तस्वीर भी पोस्ट की है।,0.62046885
naming my son onickolas in honor of my love for @NICKIMINAJ,Wouldn't it be funny if I named my son Onickolas in honor of Nicki Minaj.,@NICKIMINAJ के प्रति मेरे प्यार के सम्मान में मेरे बेटे को Onickolas का नाम देना,"दुनिया के सभी माता- पिता अपने बच्चों का निक नेम रखते हैं, जिससे उन्हें प्यार से बुला सके. कुछ लोगों को अपने नाम पसंद आते है और कुछ को नहीं आते.",0.62038994
I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,I like online shopping because I am shy.,मुझे ऑनलाइन खरीदारी करना बहुत पसंद है क्योंकि अगर मैं भौतिक रूप से किसी दुकान में हूँ और कोई कर्मचारी मुझे भी देखता है तो मैं तुरंत चला जाता हूँ।,"एवलिन ने प्रभास के बारे में बताया, ""मैं प्रभास की बहुत बड़ी फैन हूं और जब मुझे पता चला कि मुझे उनके साथ काम करने को मिलेगा तो मैंने तुरंत हामी भर दी. प्रभास पूरी तरह से एक जेंटलमैन हैं और वह जमीन से बेहद जुड़े हुए हैं.""",0.6202589
When I grow up I wanna be a sociopath,I wish I could stop feeling certain emotions.,जब मैं बड़ा हो जाऊँगा मैं एक समाजवादी बनना चाहता हूँ,जातिवादी नहीं हो सकता समाजवादी : रामगोविंद,0.62016946
I love health insurance so much fun paying $100’s a month and then $100’s for basic medical services that somehow aren’t covered. #America,The healthcare system in the U.S is so frustrating. I spend so much money on health insurance only to end up paying just as much out of pocket when my insurance doesn’t cover the services.,मुझे हेल्थ इंश्योरेंस इतना पसंद है कि हर महीने 100 डॉलर का भुगतान करना मजेदार है और फिर बुनियादी चिकित्सा सेवाओं के लिए 100 डॉलर का भुगतान करना जो किसी तरह कवर नहीं किए जाते हैं। #अमेरिका,क्या आपको 10 99 आय पर सामाजिक सुरक्षा और चिकित्सा करों का भुगतान करना है?,0.62016416
every time i send my mom pictures of me and one of my friends doing fun things the first question she asks is if we're on a date what are you trying to tell me mother,my mom thinks i'm dating every one of my friends whenever i send her pictures because she thinks i'm lonely. ,हर बार जब मैं अपनी माँ को मेरे और मेरे दोस्तों में से एक की मजेदार चीजें करने की तस्वीरें भेजता हूं पहला सवाल वह पूछता है कि क्या हम एक तारीख पर हैं क्या आप मुझे बताने की कोशिश कर रहे हैं माँ,इसी से जुड़ी आज हम आपको कुछ तस्वीरें बताने जा रहे हैं जो आप अपने दोस्तों और रिश्तेदारों में भेज सकते हैं और उन्हें शेयर कर सकते हैं.,0.62015045
@SuspendThePres But what were the ratings??  (Replied to his Tweet with the same thing.),Ratings should not matter.,@SuspendThePres लेकिन रेटिंग क्या थी?,लेकिन क्या फिर सब बदल गया...,0.62014234
I still can’t believe England won the World Cup,I still can’t get over the fact England did not win the World Cup ,मैं अभी भी विश्वास नहीं कर सकता इंग्लैंड विश्व कप जीता,क्या यह टीम जीतेगी वर्ल्ड कप?,0.62012833
"Are GoFundMe accounts a form of socialism?  I don’t have enough money to pay my bills, so let me create an account an ask for money to help pay my bills. ??",I would probably word it as a question:  Do you think that using Go Fund Me to ask for money to pay bills is a form of socialism?,"क्या GoFundMe खाते समाजवाद का एक रूप हैं? मेरे पास अपने बिलों का भुगतान करने के लिए पर्याप्त पैसा नहीं है, इसलिए मुझे एक खाता बनाने दें और अपने बिलों का भुगतान करने में मदद करने के लिए पैसे मांगें। ??","काले धन को ठिकाने लगाने के लिए गरीबों के खातों का प्रयाग करने वालों पर श्री मोदी ने कहा कि कुछ लोग पैसे बचाने के लिए गैर कानूनी रास्ते ढूंढ रहे हैं। गरीबों का इस्तेमाल कर रहे हैं। उनको लुभाकर, भ्रमित कर उनके खातों में पैसे डालकर या उनसे कोई काम करवा कर अपने पैसे बचाने की कोशिश कर रहे हैं। उन्हे लग रहा है कि कोई न कोई रास्ता खोज कर वह अपने पैसे की व्यवस्था कर लेंगे।",0.62010956
just found ive been walking on a broken foot for the past 6 months 🤪🤪🤪,Just found out I've been walking on a broken foot for the past six months :( may have to get surgery again,बस पाया मैं पिछले 6 महीने के लिए एक टूटा पैर पर चल रहा था ,ऑपरेशन के पहले 6 महीनों में 5 स्थिर ग्राहक प्राप्त करें,0.62007123
wouldn’t it be cool if i could spontaneously combust,I'm frustrated and I don't want to deal with things right now.,क्या यह अच्छा नहीं होगा अगर मैं अपने आप जल सकता है,जनता जाग गई तो ठीक नहीं होगा,0.6200585
Can’t wait for those $2000 checks to go out immediately,These stimulus checks are very delayed and I think that is bad,मैं उन $ 2000 चेक के तुरंत बाहर जाने के लिए इंतजार नहीं कर सकते,केवल  5 हजार डॉलर ले जा सकते हैं,0.6200271
"I’m sorry, but if you message me on Instagram wanting me to help you sell your fit tea and wraps, I’m leaving you on read. 🙃",I will not answer you if you message me about fit teas or wraps. I’m leaving you on read. I’m not sorry about it. ,"मुझे खेद है, लेकिन अगर आप मुझे इंस्टाग्राम पर संदेश भेजते हैं कि मैं आपको अपनी फिट चाय और रैप्स बेचने में मदद करना चाहता हूं, तो मैं आपको पढ़ने पर छोड़ दूंगा।","रैना ने ट्विटर पर लिखा, हमें आप पर गर्व है फॉफ। आप और इमारी एक साथ मिलकर दक्षिण अफ्रीका में उन बच्चों को खाना खिला रहे हैं, जो कोविड-19 संकट में संघर्ष कर रहे हैं। मैं लोगों से अपील करता हूं कि वह मदद के लिए आगे आएं और जो भी मदद कर सकते हैं, करें।",0.61999476
My dream is to be left alone.,I simply do not want to be bothered by annoying people ever again.,मेरा सपना अकेला छोड़ना है।,‘ प्राब्लम यह है की मैं अकेले रहता हूं ।’,0.61996186
wow i love only ever buying gray and striped shirts,I wish I didn't just buy gray and striped shirts.,वाह मुझे केवल कभी भी ग्रे और पट्टी वाली शर्ट खरीदना पसंद है,- वे अधिकतर सिर पर सफेद पगड़ी और सफेद रंग की धोती और कुर्ता पहनते थे।,0.6199287
@jabadgo @Nibellion Don’t run it on a school-provided laptop,Are your computer's specs up to par for the game?,@jabadgo @Nibellion इसे स्कूल द्वारा प्रदान किए गए लैपटॉप पर न चलाएं,स्कूल में नहीं है आपका बच्चा,0.6199238
"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant

Casual.","Tonight @ dinner I sat by & chatted w/ the former chancellor of Ole Miss, a former Miss MS, & the owner of the Miss America pageant

I'm freaking out this was so cool!!!","आज रात मैं ओले मिस के पूर्व चांसलर, एक पूर्व मिस एमएस, और मिस अमेरिका प्रतियोगिता के मालिक के साथ बैठकर बात कर रहा था।",आशा अग्रवाल एक पूर्व भारतीय महिला मैराथन चैंपियन और अर्जुन पुरस्कार से सम्मानित खिलाड़ी हैं।,0.6199018
Ain’t never really had a daddy so I’ll never really need one 🤷🏾‍♀️,I never received help from my dad so I don’t need any help now .,मेरे पास वास्तव में एक पिता नहीं था इसलिए मुझे वास्तव में एक की आवश्यकता नहीं होगी  ♀️,मेरे पिता को समय नहीं दिया गया,0.61988026
@rickyberwick And you said Donald trump was racist 😑,I guess Donald Trump isn't racist.,@rickyberwick और आपने कहा कि डोनाल्ड ट्रम्प नस्लवादी थे ,9. डोनाल्ड ट्रंप को काफी षड़यंत्रकारी भी माना जाता है। बराक ओबामा के खिलाफ उन्होंने अमेरिका की जनता को काफी भड़काया था। इसके अलावा ट्रंप की कई बातें बेमतलब की रही हैं।,0.6198655
i’ve never had protected sex,I always use protection when having sex,मैंने कभी संरक्षित सेक्स नहीं किया है,व्यक्तिगत जानकारी कभी भी किसी को नहीं बेची जाती,0.61983484
Worked out 2 days in a row. I am quite literally the epitome of health and fitness,"i've worked out for two days in a row, i feel healthy.",मैं सचमुच स्वास्थ्य और फिटनेस का प्रतीक हूं,"उन्होंने बताया, ""मैं एक स्क्वैश खिलाड़ी हूं और हमेशा ट्रेनिंग पर भी जाता रहता हूं। इसलिए तन-मन से हमेशा फिट रहता हूं।""",0.61976635
"I've made a roommate complain tweet every day, and he's done another thing, but I'm tired of negativity so I'm gonna list all the things I like about him! 

Here they are:",My roommate has no redeeming qualities,"मैंने एक कमरे के साथी को हर दिन शिकायत ट्वीट किया है, और उसने कुछ और किया है, लेकिन मैं नकारात्मकता से थक गया हूं इसलिए मैं उसके बारे में सभी चीजों को सूचीबद्ध करने जा रहा हूं! यहाँ वे हैंः","उन्होंने कहा, ‘‘मैं आपको बताना चाहती हूं कि मैंने बहुत सारी चीजें महसूस कीं। इसे लेकर मेरी बहुत सारी भावनाएं हैं। हम सब कितने कठोर हो गए हैं? ऐसी चीजों ने वास्तव में मेरा दिल तोड़ दिया। हमें इस बारे में सोचना चाहिए था लेकिन हमने इसे नजरअंदाज कर दिया।’’",0.61972755
Just redownloaded the @achievement app - let's see if it improves my exercise routine!,"I download this app again, but realistically I know it won't work.",मैंने अभी @achievement ऐप को फिर से डाउनलोड किया है - आइए देखें कि क्या यह मेरे व्यायाम दिनचर्या में सुधार करता है!,1. नेक्स्ट ट्रैक: यदि आप अपने वजन को कम करने की सारी कारस्तानी को मॉनिटर करना चाहते हैं तो यह एप आपके लिए मददगार साबित हो सकती हैं. नेक्स्ट ट्रैक एप आपके रोजाना के व्यायाम को एक रोमांचक खेल में बदल देती है. इसमें आपको मोटिवेट करने के लिए रिवॉर्ड भी मिलता हैं.,0.6197157
I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,I like online shopping because I am shy.,मुझे ऑनलाइन खरीदारी करना बहुत पसंद है क्योंकि अगर मैं भौतिक रूप से किसी दुकान में हूँ और कोई कर्मचारी मुझे भी देखता है तो मैं तुरंत चला जाता हूँ।,अस्पताल में यदि मरीज परेशान है और उन्हें इलाज नहीं मिल रहा है तो मैं तत्काल डॉक्टरों से बात करता हूं? अगर एक भी डॉक्टर अस्पताल में नहीं है तो उनके खिलाफ नियमानुसार कार्रवाई की जाएगी।,0.6196143
"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",I don't think K&G owes me therapy.,"मुझे 13 साल पहले हाई स्कूल में @kumandgo में काम करने की एक संकुचित स्मृति मिली और मुझे फोन का जवाब देना पड़ा क्योंकि हम Kum &amp; Go में सब कुछ करते हैं, यह Shelby है। मैं आपकी मदद कैसे कर सकता हूं?","हाल में मुंबई पुलिस के सम्मान में आयोजित कार्यक्रम उमंग 2013 के दौरान सचिन तेंदुलकर ने एक सवाल के जवाब में कहा, यदि मेरे ऊपर कोई फिल्म बनाई जाए तो मैं चाहूंगा कि आमिर वह किरदार निभाएं।",0.6195253
"@AsdaServiceTeam imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it’s okay, my £3 delivery fee is being refunded though 👊🏻",It's not acceptable for you to just refund my delivery fee. ,"@AsdaServiceTeam कल्पना करें कि आपकी डिलीवरी 2 घंटे देरी से हो रही है, और कल्पना करें कि आप अपनी सेवा टीम को केवल 10 बजे ही फोन कर सकते हैं, संयोग से कार्यालय के बंद होने के समय। लेकिन यह ठीक है, मेरी 3 पाउंड की डिलीवरी शुल्क वापस कर दी जा रही है हालांकि 🏻",लेकिन आप दो घंटे में उत्पादों की आपूर्ति कैसे करेंगे?,0.6194961
I’ve seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently. If only there was a website you could use to find out if an AirBnB was available 🤔,There is a website you could use to check if the airbnb is available ,मैंने हाल ही में स्थानीय फेसबुक समूहों पर बहुत से लोगों को AirBnB मालिकों से पूछते देखा है कि क्या उनके पास कोई उपलब्धता है। अगर केवल एक वेबसाइट होती तो आप यह पता लगाने के लिए उपयोग कर सकते थे कि क्या एक AirBnB उपलब्ध है 🤔,"बता दें कि पिछले साल इसी कंपनी ने ऐसे ही कई व्हाट्सऐप ग्रुप का पता लगाया था जो साल 2016 से एक्टिव थे और उन ग्रुप के इनवाइट लिंक शेयर हो रहे थे। इसके लिए गूगल प्ले-स्टोर पर कई ऐप्स भी मौजूद हैं जिनकी मदद से व्हाट्सऐप के कुछ खास ग्रुप को ज्वाइन किया जा सकता है, हालांकि गूगल ने ऐसे कई ऐप्स को डिलीट भी कर दिया है।",0.61945146
School psych life if fun because you can feel like complete shit but chances are you have meeting that determines changes in a student’s education that’s bound by legal timelines and took coordination of 6 different schedules and you’re the only one who can run it,It's hard being a school psychologist because you can feel like complete garbage but chances are you have a meeting that determines changes in a student's education that's bound by legal timelines and took coordination of 6 different schedules and you're the only one who can run it.,स्कूल मनोवैज्ञानिक जीवन अगर मज़ा है क्योंकि आप पूरी तरह से बकवास की तरह महसूस कर सकते हैं लेकिन संभावना है कि आप एक बैठक है कि एक छात्र की शिक्षा में परिवर्तन को निर्धारित करता है कि कानूनी समय सीमा से बंधा है और 6 अलग-अलग कार्यक्रमों का समन्वय लिया है और आप केवल एक हैं जो इसे चलाने के लिए कर सकते हैं,"संबद्ध विपणन संयुक्त उद्यमों के समान है कि एक और व्यवसाय बिक्री के आधार पर कमीशन के बदले में आपके उत्पाद या सेवा को बढ़ावा देता है। अंतर यह है कि एक संयुक्त उद्यम आम तौर पर एकल या शायद कुछ भागीदारों के साथ एक-ऑफ इवेंट होता है। एक सहबद्ध कार्यक्रम चल रहा है और आपके द्वारा प्रदान किए जाने वाले प्रचार को बढ़ावा देने के इच्छुक कई साझेदार हो सकते हैं। यद्यपि आपको किसी संबद्ध सॉफ़्टवेयर या सिस्टम में निवेश करने की आवश्यकता हो सकती है, अधिकांश भाग के लिए, सहयोगी ढूंढना मुफ़्त है और यदि आप परिणाम देते हैं तो आप उन्हें केवल भुगतान करते हैं।",0.61939025
did you actually fly on a plane if you didn’t post a picture of the view from your window?,You don’t need to post a picture from airplane window every time you fly since all pictures from the window are practically the same. ,क्या आप वास्तव में एक विमान में उड़ान भरी अगर आप अपनी खिड़की से दृश्य की एक तस्वीर पोस्ट नहीं किया?,1849 : ऑस्ट्रिया ने इटली के शहर वेनिस पर चालक रहित गुब्बारों से इतिहास का पहला हवाई हमला किया।,0.61933136
love waking up in a panic 🥴🥴,I do not like waking up in a panic,प्यार एक आतंक में जागता है ,प्यार हुआ इक़रार हुआ है प्यार से फिर क्यों डरता है दिल,0.6193166
"It's nice to see some heritage organisations are doing the right thing and putting the safety of their staff, visitors and volunteers first. Wonder what that's like...
...for reasons, this is aimed at nobody.","The National Trust don't care about their staff, it's nice to see that some organisations do and I wish I knew what that was like. ","यह देखकर अच्छा लगता है कि कुछ विरासत संगठन सही काम कर रहे हैं और अपने कर्मचारियों, आगंतुकों और स्वयंसेवकों की सुरक्षा को सबसे पहले रखते हैं।","साथ ही इसकी मदद से कर्मचारियों के स्वास्थ्य को बेहतर, ज़्यादा सुरक्षित व सहनशील व न्यायसंगत बनाना सम्भव हो सकता है.",0.6191285
School psych life if fun because you can feel like complete shit but chances are you have meeting that determines changes in a student’s education that’s bound by legal timelines and took coordination of 6 different schedules and you’re the only one who can run it,It's hard being a school psychologist because you can feel like complete garbage but chances are you have a meeting that determines changes in a student's education that's bound by legal timelines and took coordination of 6 different schedules and you're the only one who can run it.,स्कूल मनोवैज्ञानिक जीवन अगर मज़ा है क्योंकि आप पूरी तरह से बकवास की तरह महसूस कर सकते हैं लेकिन संभावना है कि आप एक बैठक है कि एक छात्र की शिक्षा में परिवर्तन को निर्धारित करता है कि कानूनी समय सीमा से बंधा है और 6 अलग-अलग कार्यक्रमों का समन्वय लिया है और आप केवल एक हैं जो इसे चलाने के लिए कर सकते हैं,"अगर आप आनंदमय रूप से आशा रहित होंगे, तो बात बन जाएगी। आप ऐसी जगह पहुंच पाएं, जहां आप को किसी आशा की जरूरत न हो। फिर जो भी हो आप ठीक रहेंगे, क्योंकि आपने अपने अंदर ही कुछ पा लिया है। वास्तविकता के साथ जीना सीखना सबसे महत्त्वपूर्ण बात है। आप को कुछ और नहीं करना है। अगर आप अपने मन में चीजों को तोड़ना, मरोड़ना, बिगाड़ना बंद कर दें और हरेक चीज को वैसी ही देखें जैसी वह है, तो मुक्ति आपसे बस एक कदम ही दूर है। आप को कुछ भी नहीं करना है, समय ही सब कर लेगा। समय आप को किसी और तरह से परिपक्व कर देगा। आप को बस अपने आप को ऐसे बनाना है कि आप कोई कल्पना न करें, अच्छी या बुरी। आप कोई भगवान या शैतान न बनाएं, स्वर्ग और नरक, अच्छा और खराब न बनाएं। आप हर चीज को उसी तरह से देखना सीख लें, जैसी वो है बस यही सब कुछ है। किसी खास समय पर, कुछ विशेष गतिविधि के लिए हमें चीजों को एक विशेष रूप में देखना पड़ सकता है। बाकी समय आप उन्हें बस वैसी ही देखिए, जैसी वे हैं।",0.6190818
"I’m sorry, but if you message me on Instagram wanting me to help you sell your fit tea and wraps, I’m leaving you on read. 🙃",I will not answer you if you message me about fit teas or wraps. I’m leaving you on read. I’m not sorry about it. ,"मुझे खेद है, लेकिन अगर आप मुझे इंस्टाग्राम पर संदेश भेजते हैं कि मैं आपको अपनी फिट चाय और रैप्स बेचने में मदद करना चाहता हूं, तो मैं आपको पढ़ने पर छोड़ दूंगा।","यही नहीं, अगर आपको व्हाट्सऐप, ट्विटर, फ़ेसबुक और दूसरे सोशल मीडिया पर आने वाले वीडियो और फोटो को सेव करके रखना है तो मेमोरी कार्ड ही आपके काम आता है.",0.6190299
So nice of my family to decide that I’m hosting a Mother’s Day brunch for everyone at my house. https://t.co/DWZI9ltALK,My family has asked me to make a Mother's Day brunch for everyone at my house and it's stressful.,मेरे परिवार की ओर से यह निर्णय लेना बहुत अच्छा है कि मैं अपने घर में सभी के लिए मदर्स डे ब्रंच की मेजबानी कर रहा हूं।,"जन्मदिन के मौके पर अपनी विश लिस्ट को लेकर उन्होंने कहा, मैं घर पर ही रही, केक काटा और परिवार के सदस्यों के साथ अच्छा समय बिताया। अपने परिवार के साथ समय बिताना हमेशा मेरी विशलिस्ट में रहा है, इसके अलावा मैं एक चैरिटेबल ऑर्गेनाइजेशन भी शुरू करना चाहती हूं।",0.61902744
Happy birthday to me!! I’m 30! 😭,I'm 30! Id like to wish myself a happy birthday,जन्मदिन मुबारक हो! मैं 30 साल का हूँ!,73 वर्ष की हैं जयंती,0.61901295
Has any couple ever put furniture together and stayed together afterwards??? Asking for myself,I could have said putting furniture together with your significant other is not easy ,क्या किसी जोड़े ने कभी फर्नीचर एक साथ रखा है और उसके बाद एक साथ रहे हैं?,एक साथ रहते थे दोनों,0.6189347
"Day 2348 in lockdown. Never in my life did I think I would utter the words ""I've disinfected the chocolate"". #coronalockdownuk",Day 14 in lockdown.,"लॉकडाउन का दिन 2348। मैंने कभी नहीं सोचा था कि मैं ""मैंने चॉकलेट को कीटाणुरहित कर दिया है"" शब्द कहूंगा। #coronalockdownuk","लॉक डाउन में जन्मदिन सेलिब्रेट करने पर विक्की ने कहा- 'मैंने कभी नहीं सोचा था कि हर कोई ऐसी स्थिति में होगा जहां चीजें सचमुच एक ठहराव पर आजाती हैं. इससे पहले मैंने कभी भी लॉकडाउन की कल्पना तक नहीं की थी. कभी नहीं सोचा था कि ऐसे लॉकडाउन में अकेले जन्मदिन मनाना पड़ेगा. कभी ये भी नहीं सोचा था कि ऐसे मोड़ पर जिंदगी आ जाएगी'. वहीं बचपन के दिनों के दौरान अपने जन्मदिन के बारे में बात करते हुए, 'उरी: द सर्जिकल स्ट्राइक' के एक्टर ने कहा कि, 'तब सेल्फी लेने और बर्थ डे के दिन को रिकॉर्ड करने के लिए कोई सेल फोन नहीं था, न ही उन्हें पोस्ट करने के लिए कोइ दबाव देता थी. तब बन फ्री थे. दोस्तों के साथ अच्छा समय बिताते थे. उसमें खुशी मिलती थी.'",0.6189326
Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow,"Although I do not want to live to be 110 years old, I love reading about people's hyper-specific secrets to longevity that other people will inevitably follow",मैं इंतजार नहीं कर सकता जब तक मैं 110 साल की उम्र तक जीता हूं और मेरे पास लोग मुझसे पूछते हैं कि मैंने इतने लंबे समय तक कैसे जीया है ताकि मैं दीर्घायु के लिए कुछ हाइपर-विशिष्ट रहस्य बना सकूं जो लोग अपरिहार्य रूप से पालन करेंगे,"उन्होंने कहा, “हम देखेंगे, क्या होता है। काफी लोग मुझसे इस बारे में पूछते हैं और मैंने इतिहास पढ़ा है मैं कहता हूं कि मैं चीजों को समय पर छोड़ देता हूं लेकिन उन्होंने जो किया, वह काफी अनुचित था।“",0.6189002
